ID,Prediction
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
